,grid,grid_mapping
0,0,1
1,3,2
2,5,3
3,10,4
4,12,5
5,14,6
6,21,7
7,23,8
8,25,9
9,27,10
10,36,11
11,38,12
12,40,13
13,42,14
14,44,15
15,55,16
16,57,17
17,59,18
18,61,19
19,63,20
20,65,21
21,78,22
22,80,23
23,82,24
24,84,25
25,86,26
26,88,27
27,90,28
28,105,29
29,107,30
30,109,31
31,111,32
32,113,33
33,115,34
34,117,35
35,119,36
36,136,37
37,138,38
38,140,39
39,142,40
40,144,41
41,146,42
42,148,43
43,150,44
44,152,45
45,171,46
46,173,47
47,175,48
48,177,49
49,179,50
50,181,51
51,183,52
52,185,53
53,187,54
54,189,55
55,210,56
56,212,57
57,214,58
58,216,59
59,218,60
60,220,61
61,222,62
62,224,63
63,226,64
64,228,65
65,230,66
66,253,67
67,255,68
68,257,69
69,259,70
70,261,71
71,263,72
72,265,73
73,267,74
74,269,75
75,271,76
76,273,77
77,275,78
78,300,79
79,302,80
80,304,81
81,306,82
82,308,83
83,310,84
84,312,85
85,314,86
86,316,87
87,318,88
88,320,89
89,322,90
90,324,91
91,351,92
92,353,93
93,355,94
94,357,95
95,359,96
96,361,97
97,363,98
98,365,99
99,367,100
100,369,101
101,371,102
102,373,103
103,375,104
104,377,105
105,406,106
106,408,107
107,410,108
108,412,109
109,414,110
110,416,111
111,418,112
112,420,113
113,422,114
114,424,115
115,426,116
116,428,117
117,430,118
118,432,119
119,434,120
120,465,121
121,467,122
122,469,123
123,471,124
124,473,125
125,475,126
126,477,127
127,479,128
128,481,129
129,483,130
130,485,131
131,487,132
132,489,133
133,491,134
134,493,135
135,495,136
136,528,137
137,530,138
138,532,139
139,534,140
140,536,141
141,538,142
142,540,143
143,542,144
144,544,145
145,546,146
146,548,147
147,550,148
148,552,149
149,554,150
150,556,151
151,558,152
152,560,153
153,595,154
154,597,155
155,599,156
156,601,157
157,603,158
158,605,159
159,607,160
160,609,161
161,611,162
162,613,163
163,615,164
164,617,165
165,619,166
166,621,167
167,623,168
168,625,169
169,627,170
170,629,171
171,666,172
172,668,173
173,670,174
174,672,175
175,674,176
176,676,177
177,678,178
178,680,179
179,682,180
180,684,181
181,686,182
182,688,183
183,690,184
184,692,185
185,694,186
186,696,187
187,698,188
188,700,189
189,702,190
190,741,191
191,743,192
192,745,193
193,747,194
194,749,195
195,751,196
196,753,197
197,755,198
198,757,199
199,759,200
200,761,201
201,763,202
202,765,203
203,767,204
204,769,205
205,771,206
206,773,207
207,775,208
208,777,209
209,779,210
210,820,211
211,822,212
212,824,213
213,826,214
214,828,215
215,830,216
216,832,217
217,834,218
218,836,219
219,838,220
220,840,221
221,842,222
222,844,223
223,846,224
224,848,225
225,850,226
226,852,227
227,854,228
228,856,229
229,858,230
230,860,231
231,903,232
232,905,233
233,907,234
234,909,235
235,911,236
236,913,237
237,915,238
238,917,239
239,919,240
240,921,241
241,923,242
242,925,243
243,927,244
244,929,245
245,931,246
246,933,247
247,935,248
248,937,249
249,939,250
250,941,251
251,943,252
252,945,253
253,990,254
254,992,255
255,994,256
256,996,257
257,998,258
258,1000,259
259,1002,260
260,1004,261
261,1006,262
262,1008,263
263,1010,264
264,1012,265
265,1014,266
266,1016,267
267,1018,268
268,1020,269
269,1022,270
270,1024,271
271,1026,272
272,1028,273
273,1030,274
274,1032,275
275,1034,276
276,1081,277
277,1083,278
278,1085,279
279,1087,280
280,1089,281
281,1091,282
282,1093,283
283,1095,284
284,1097,285
285,1099,286
286,1101,287
287,1103,288
288,1105,289
289,1107,290
290,1109,291
291,1111,292
292,1113,293
293,1115,294
294,1117,295
295,1119,296
296,1121,297
297,1123,298
298,1125,299
299,1127,300
300,1176,301
301,1178,302
302,1180,303
303,1182,304
304,1184,305
305,1186,306
306,1188,307
307,1190,308
308,1192,309
309,1194,310
310,1196,311
311,1198,312
312,1200,313
313,1202,314
314,1204,315
315,1206,316
316,1208,317
317,1210,318
318,1212,319
319,1214,320
320,1216,321
321,1218,322
322,1220,323
323,1222,324
324,1224,325
325,1275,326
326,1277,327
327,1279,328
328,1281,329
329,1283,330
330,1285,331
331,1287,332
332,1289,333
333,1291,334
334,1293,335
335,1295,336
336,1297,337
337,1299,338
338,1301,339
339,1303,340
340,1305,341
341,1307,342
342,1309,343
343,1311,344
344,1313,345
345,1315,346
346,1317,347
347,1319,348
348,1321,349
349,1323,350
350,1325,351
351,1378,352
352,1380,353
353,1382,354
354,1384,355
355,1386,356
356,1388,357
357,1390,358
358,1392,359
359,1394,360
360,1396,361
361,1398,362
362,1400,363
363,1402,364
364,1404,365
365,1406,366
366,1408,367
367,1410,368
368,1412,369
369,1414,370
370,1416,371
371,1418,372
372,1420,373
373,1422,374
374,1424,375
375,1426,376
376,1428,377
377,1430,378
378,1485,379
379,1487,380
380,1489,381
381,1491,382
382,1493,383
383,1495,384
384,1497,385
385,1499,386
386,1501,387
387,1503,388
388,1505,389
389,1507,390
390,1509,391
391,1511,392
392,1513,393
393,1515,394
394,1517,395
395,1519,396
396,1521,397
397,1523,398
398,1525,399
399,1527,400
400,1529,401
401,1531,402
402,1533,403
403,1535,404
404,1537,405
405,1539,406
406,1596,407
407,1598,408
408,1600,409
409,1602,410
410,1604,411
411,1606,412
412,1608,413
413,1610,414
414,1612,415
415,1614,416
416,1616,417
417,1618,418
418,1620,419
419,1622,420
420,1624,421
421,1626,422
422,1628,423
423,1630,424
424,1632,425
425,1634,426
426,1636,427
427,1638,428
428,1640,429
429,1642,430
430,1644,431
431,1646,432
432,1648,433
433,1650,434
434,1652,435
435,1711,436
436,1713,437
437,1715,438
438,1717,439
439,1719,440
440,1721,441
441,1723,442
442,1725,443
443,1727,444
444,1729,445
445,1731,446
446,1733,447
447,1735,448
448,1737,449
449,1739,450
450,1741,451
451,1743,452
452,1745,453
453,1747,454
454,1749,455
455,1751,456
456,1753,457
457,1755,458
458,1757,459
459,1759,460
460,1761,461
461,1763,462
462,1765,463
463,1767,464
464,1769,465
465,1830,466
466,1832,467
467,1834,468
468,1836,469
469,1838,470
470,1840,471
471,1842,472
472,1844,473
473,1846,474
474,1848,475
475,1850,476
476,1852,477
477,1854,478
478,1856,479
479,1858,480
480,1860,481
481,1862,482
482,1864,483
483,1866,484
484,1868,485
485,1870,486
486,1872,487
487,1874,488
488,1876,489
489,1878,490
490,1880,491
491,1882,492
492,1884,493
493,1886,494
494,1888,495
495,1890,496
496,1953,497
497,1955,498
498,1957,499
499,1959,500
500,1961,501
501,1963,502
502,1965,503
503,1967,504
504,1969,505
505,1971,506
506,1973,507
507,1975,508
508,1977,509
509,1979,510
510,1981,511
511,1983,512
512,1985,513
513,1987,514
514,1989,515
515,1991,516
516,1993,517
517,1995,518
518,1997,519
519,1999,520
520,2001,521
521,2003,522
522,2005,523
523,2007,524
524,2009,525
525,2011,526
526,2013,527
527,2015,528
528,2080,529
529,2082,530
530,2084,531
531,2086,532
532,2088,533
533,2090,534
534,2092,535
535,2094,536
536,2096,537
537,2098,538
538,2100,539
539,2102,540
540,2104,541
541,2106,542
542,2108,543
543,2110,544
544,2112,545
545,2114,546
546,2116,547
547,2118,548
548,2120,549
549,2122,550
550,2124,551
551,2126,552
552,2128,553
553,2130,554
554,2132,555
555,2134,556
556,2136,557
557,2138,558
558,2140,559
559,2142,560
560,2144,561
561,2211,562
562,2213,563
563,2215,564
564,2217,565
565,2219,566
566,2221,567
567,2223,568
568,2225,569
569,2227,570
570,2229,571
571,2231,572
572,2233,573
573,2235,574
574,2237,575
575,2239,576
576,2241,577
577,2243,578
578,2245,579
579,2247,580
580,2249,581
581,2251,582
582,2253,583
583,2255,584
584,2257,585
585,2259,586
586,2261,587
587,2263,588
588,2265,589
589,2267,590
590,2269,591
591,2271,592
592,2273,593
593,2275,594
594,2277,595
595,2346,596
596,2348,597
597,2350,598
598,2352,599
599,2354,600
600,2356,601
601,2358,602
602,2360,603
603,2362,604
604,2364,605
605,2366,606
606,2368,607
607,2370,608
608,2372,609
609,2374,610
610,2376,611
611,2378,612
612,2380,613
613,2382,614
614,2384,615
615,2386,616
616,2388,617
617,2390,618
618,2392,619
619,2394,620
620,2396,621
621,2398,622
622,2400,623
623,2402,624
624,2404,625
625,2406,626
626,2408,627
627,2410,628
628,2412,629
629,2414,630
630,2485,631
631,2487,632
632,2489,633
633,2491,634
634,2493,635
635,2495,636
636,2497,637
637,2499,638
638,2501,639
639,2503,640
640,2505,641
641,2507,642
642,2509,643
643,2511,644
644,2513,645
645,2515,646
646,2517,647
647,2519,648
648,2521,649
649,2523,650
650,2525,651
651,2527,652
652,2529,653
653,2531,654
654,2533,655
655,2535,656
656,2537,657
657,2539,658
658,2541,659
659,2543,660
660,2545,661
661,2547,662
662,2549,663
663,2551,664
664,2553,665
665,2555,666
666,2628,667
667,2630,668
668,2632,669
669,2634,670
670,2636,671
671,2638,672
672,2640,673
673,2642,674
674,2644,675
675,2646,676
676,2648,677
677,2650,678
678,2652,679
679,2654,680
680,2656,681
681,2658,682
682,2660,683
683,2662,684
684,2664,685
685,2666,686
686,2668,687
687,2670,688
688,2672,689
689,2674,690
690,2676,691
691,2678,692
692,2680,693
693,2682,694
694,2684,695
695,2686,696
696,2688,697
697,2690,698
698,2692,699
699,2694,700
700,2696,701
701,2698,702
702,2700,703
703,2775,704
704,2777,705
705,2779,706
706,2781,707
707,2783,708
708,2785,709
709,2787,710
710,2789,711
711,2791,712
712,2793,713
713,2795,714
714,2797,715
715,2799,716
716,2801,717
717,2803,718
718,2805,719
719,2807,720
720,2809,721
721,2811,722
722,2813,723
723,2815,724
724,2817,725
725,2819,726
726,2821,727
727,2823,728
728,2825,729
729,2827,730
730,2829,731
731,2831,732
732,2833,733
733,2835,734
734,2837,735
735,2839,736
736,2841,737
737,2843,738
738,2845,739
739,2847,740
740,2849,741
741,2926,742
742,2928,743
743,2930,744
744,2932,745
745,2934,746
746,2936,747
747,2938,748
748,2940,749
749,2942,750
750,2944,751
751,2946,752
752,2948,753
753,2950,754
754,2952,755
755,2954,756
756,2956,757
757,2958,758
758,2960,759
759,2962,760
760,2964,761
761,2966,762
762,2968,763
763,2970,764
764,2972,765
765,2974,766
766,2976,767
767,2978,768
768,2980,769
769,2982,770
770,2984,771
771,2986,772
772,2988,773
773,2990,774
774,2992,775
775,2994,776
776,2996,777
777,2998,778
778,3000,779
779,3002,780
780,3081,781
781,3083,782
782,3085,783
783,3087,784
784,3089,785
785,3091,786
786,3093,787
787,3095,788
788,3097,789
789,3099,790
790,3101,791
791,3103,792
792,3105,793
793,3107,794
794,3109,795
795,3111,796
796,3113,797
797,3115,798
798,3117,799
799,3119,800
800,3121,801
801,3123,802
802,3125,803
803,3127,804
804,3129,805
805,3131,806
806,3133,807
807,3135,808
808,3137,809
809,3139,810
810,3141,811
811,3143,812
812,3145,813
813,3147,814
814,3149,815
815,3151,816
816,3153,817
817,3155,818
818,3157,819
819,3159,820
820,3240,821
821,3242,822
822,3244,823
823,3246,824
824,3248,825
825,3250,826
826,3252,827
827,3254,828
828,3256,829
829,3258,830
830,3260,831
831,3262,832
832,3264,833
833,3266,834
834,3268,835
835,3270,836
836,3272,837
837,3274,838
838,3276,839
839,3278,840
840,3280,841
841,3282,842
842,3284,843
843,3286,844
844,3288,845
845,3290,846
846,3292,847
847,3294,848
848,3296,849
849,3298,850
850,3300,851
851,3302,852
852,3304,853
853,3306,854
854,3308,855
855,3310,856
856,3312,857
857,3314,858
858,3316,859
859,3318,860
860,3320,861
861,3403,862
862,3405,863
863,3407,864
864,3409,865
865,3411,866
866,3413,867
867,3415,868
868,3417,869
869,3419,870
870,3421,871
871,3423,872
872,3425,873
873,3427,874
874,3429,875
875,3431,876
876,3433,877
877,3435,878
878,3437,879
879,3439,880
880,3441,881
881,3443,882
882,3445,883
883,3447,884
884,3449,885
885,3451,886
886,3453,887
887,3455,888
888,3457,889
889,3459,890
890,3461,891
891,3463,892
892,3465,893
893,3467,894
894,3469,895
895,3471,896
896,3473,897
897,3475,898
898,3477,899
899,3479,900
900,3481,901
901,3483,902
902,3485,903
903,3570,904
904,3572,905
905,3574,906
906,3576,907
907,3578,908
908,3580,909
909,3582,910
910,3584,911
911,3586,912
912,3588,913
913,3590,914
914,3592,915
915,3594,916
916,3596,917
917,3598,918
918,3600,919
919,3602,920
920,3604,921
921,3606,922
922,3608,923
923,3610,924
924,3612,925
925,3614,926
926,3616,927
927,3618,928
928,3620,929
929,3622,930
930,3624,931
931,3626,932
932,3628,933
933,3630,934
934,3632,935
935,3634,936
936,3636,937
937,3638,938
938,3640,939
939,3642,940
940,3644,941
941,3646,942
942,3648,943
943,3650,944
944,3652,945
945,3654,946
946,3741,947
947,3743,948
948,3745,949
949,3747,950
950,3749,951
951,3751,952
952,3753,953
953,3755,954
954,3757,955
955,3759,956
956,3761,957
957,3763,958
958,3765,959
959,3767,960
960,3769,961
961,3771,962
962,3773,963
963,3775,964
964,3777,965
965,3779,966
966,3781,967
967,3783,968
968,3785,969
969,3787,970
970,3789,971
971,3791,972
972,3793,973
973,3795,974
974,3797,975
975,3799,976
976,3801,977
977,3803,978
978,3805,979
979,3807,980
980,3809,981
981,3811,982
982,3813,983
983,3815,984
984,3817,985
985,3819,986
986,3821,987
987,3823,988
988,3825,989
989,3827,990
990,3916,991
991,3918,992
992,3920,993
993,3922,994
994,3924,995
995,3926,996
996,3928,997
997,3930,998
998,3932,999
999,3934,1000
1000,3936,1001
1001,3938,1002
1002,3940,1003
1003,3942,1004
1004,3944,1005
1005,3946,1006
