,latitude,longitude,alt,entireTime,loncol,latcol,grid,userID,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0
0,39.9846216,116.3525233,160.8,2008-10-20 23:12:37,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
1,39.9846066,116.3525933,160.8,2008-10-20 23:12:39,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
2,39.9846033,116.3526999,160.8,2008-10-20 23:12:41,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
3,39.9845933,116.3528033,160.8,2008-10-20 23:12:43,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
4,39.9845866,116.3528783,160.8,2008-10-20 23:12:45,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
5,39.9845316,116.3528399,160.8,2008-10-20 23:12:47,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
6,39.9845016,116.3527733,160.8,2008-10-20 23:12:49,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
7,39.9844099,116.3527166,160.8,2008-10-20 23:12:52,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
8,39.9843366,116.3526349,160.8,2008-10-20 23:12:54,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
9,39.9842383,116.3526133,160.8,2008-10-20 23:12:56,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
10,39.9841766,116.3525949,160.8,2008-10-20 23:12:58,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
11,39.9841716,116.3525483,160.8,2008-10-20 23:13:00,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
12,39.9841833,116.3524699,160.8,2008-10-20 23:13:03,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
13,39.9842033,116.3524166,160.8,2008-10-20 23:13:05,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
14,39.9842633,116.3522666,160.8,2008-10-20 23:13:07,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
15,39.9842649,116.3521866,160.8,2008-10-20 23:13:09,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
16,39.9842583,116.352065,160.8,2008-10-20 23:13:11,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
17,39.9842066,116.3518816,160.8,2008-10-20 23:13:13,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
18,39.98415,116.3517816,160.8,2008-10-20 23:13:15,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
19,39.9840883,116.3517033,160.8,2008-10-20 23:13:17,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
20,39.9840066,116.3517899,160.8,2008-10-20 23:13:19,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
21,39.9839616,116.3517899,160.8,2008-10-20 23:13:21,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
22,39.9838966,116.3517716,160.8,2008-10-20 23:13:23,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
23,39.9838266,116.3518116,160.8,2008-10-20 23:13:25,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
24,39.9837733,116.3518516,160.8,2008-10-20 23:13:27,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
25,39.983715,116.3518833,160.8,2008-10-20 23:13:29,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
26,39.9836749,116.35194,160.8,2008-10-20 23:13:31,81,65,42908,11,0.0,46.0,23.0,229.0,4.0,31.0,53.0,53.0,21.0,43.0,148.0,9.0,21.0,91.0
