,userID,stime,grid,etime,lon,lat,duration,stayid
744794,17,2008-10-30 10:30:56,7791,2008-10-30 11:36:31,116.341345,40.0178533,3935.0,0
191492,17,2008-10-30 11:36:31,7934,2008-10-30 12:11:04,116.3445766,40.0187399,2073.0,1
191770,17,2008-10-30 12:38:56,7791,2008-10-30 23:46:20,116.3445483,40.0179666,40044.0,2
851665,17,2008-10-30 23:59:12,7501,2008-10-31 09:19:18,116.3208716,39.98486,33606.0,3
517974,17,2008-10-31 09:41:45,7791,2008-11-01 02:03:09,116.3401766,40.0161099,58884.0,4
1001971,17,2008-11-01 02:54:08,7782,2008-11-01 05:46:33,116.3327716,39.9356083,10345.0,5
859023,17,2008-11-01 06:17:39,7791,2008-11-01 07:37:09,116.3445583,40.0180816,4770.0,6
305263,17,2008-11-01 09:27:07,7791,2008-11-02 07:01:27,116.3403433,40.0164316,77660.0,7
444817,17,2008-11-02 07:01:27,7792,2008-11-02 08:33:27,116.3393033,40.0297433,5520.0,8
444906,17,2008-11-02 08:33:56,7791,2008-11-03 00:01:02,116.3445266,40.0222833,55626.0,9
263295,17,2008-11-03 01:58:56,8643,2008-11-03 04:09:17,116.4038499,39.96743,7821.0,10
264064,17,2008-11-03 04:29:00,7791,2008-11-03 23:46:54,116.3402149,40.0160883,69474.0,11
707730,17,2008-11-04 00:08:26,7501,2008-11-04 09:26:39,116.3208349,39.9848416,33493.0,12
848035,17,2008-11-04 09:48:34,7791,2008-11-05 00:58:56,116.3401833,40.0160966,54622.0,13
1019686,17,2008-11-05 01:17:17,8643,2008-11-05 03:18:51,116.4037983,39.9674183,7294.0,14
1022751,17,2008-11-05 04:27:56,8201,2008-11-05 05:08:39,116.3682766,39.8491899,2443.0,15
1024293,17,2008-11-05 05:47:40,8643,2008-11-05 08:03:49,116.4038583,39.9673549,8169.0,16
364946,17,2008-11-05 08:33:43,7791,2008-11-06 01:53:43,116.3401149,40.0160966,62400.0,17
768146,17,2008-11-06 03:30:45,7924,2008-11-06 04:09:09,116.3502716,39.9262133,2304.0,18
768275,17,2008-11-06 04:16:18,7924,2008-11-06 05:01:40,116.344625,39.930825,2722.0,19
768927,17,2008-11-06 05:33:13,8643,2008-11-06 07:04:28,116.4037116,39.9705166,5475.0,20
482991,17,2008-11-06 07:33:42,8065,2008-11-06 08:20:36,116.3564833,39.9169199,2814.0,21
484812,17,2008-11-06 09:25:02,7791,2008-11-06 12:24:54,116.3402033,40.0160949,10792.0,22
641750,17,2008-11-06 13:38:18,7791,2008-11-07 00:07:38,116.3445149,40.0179483,37760.0,23
847611,17,2008-11-07 00:15:53,7501,2008-11-07 09:14:21,116.3208699,39.9848483,32308.0,24
754537,17,2008-11-07 09:45:51,7791,2008-11-07 23:20:48,116.344555,40.0180349,48897.0,25
489517,17,2008-11-08 00:11:21,7791,2008-11-08 07:50:48,116.340155,40.0160916,27567.0,26
173545,17,2008-11-08 08:44:45,8060,2008-11-08 10:04:15,116.3564149,39.86739,4770.0,27
175769,17,2008-11-08 12:26:31,7791,2008-11-09 08:19:07,116.3402899,40.0161683,71556.0,28
176431,17,2008-11-09 08:54:08,7791,2008-11-09 10:45:06,116.3402216,40.0161149,6658.0,29
177676,17,2008-11-09 11:16:44,7491,2008-11-09 11:47:36,116.3207916,39.8960866,1852.0,30
178989,17,2008-11-09 12:20:21,7791,2008-11-10 00:00:01,116.3402666,40.0160999,41980.0,31
959965,17,2008-11-10 00:37:37,8643,2008-11-10 01:45:40,116.4037583,39.9674716,4083.0,32
960661,17,2008-11-10 01:58:28,7923,2008-11-10 02:31:08,116.3497216,39.926045,1960.0,33
961247,17,2008-11-10 02:41:35,8205,2008-11-10 03:28:02,116.36828,39.8819099,2787.0,34
962358,17,2008-11-10 03:48:57,8643,2008-11-10 07:56:09,116.4038549,39.96746,14832.0,35
513919,17,2008-11-10 08:33:24,7501,2008-11-10 09:08:23,116.3208366,39.9847966,2099.0,36
514422,17,2008-11-10 09:42:21,7791,2008-11-10 12:52:37,116.3402049,40.0161416,11416.0,37
406528,17,2008-11-10 13:22:24,7791,2008-11-11 00:05:54,116.3419666,40.0185566,38610.0,38
737571,17,2008-11-11 00:08:44,7501,2008-11-11 09:08:40,116.3208566,39.9848716,32396.0,39
744166,17,2008-11-11 09:31:07,7791,2008-11-12 03:40:17,116.3402116,40.0161033,65350.0,40
611296,17,2008-11-12 04:03:21,7791,2008-11-13 01:30:32,116.3401083,40.0161149,77231.0,41
970555,17,2008-11-13 01:50:28,8643,2008-11-13 02:50:10,116.40376,39.9674416,3582.0,42
373202,17,2008-11-13 03:12:47,8069,2008-11-13 03:51:22,116.3597133,39.9441016,2315.0,43
373462,17,2008-11-13 03:58:00,7923,2008-11-13 05:16:17,116.3495949,39.9260633,4697.0,44
373757,17,2008-11-13 05:17:05,7778,2008-11-13 05:48:17,116.340995,39.9078899,1872.0,45
558485,17,2008-11-13 07:22:01,8926,2008-11-13 08:52:55,116.42778,39.9351566,5454.0,46
504850,17,2008-11-13 09:07:18,8643,2008-11-13 10:09:59,116.4037633,39.96715,3761.0,47
505842,17,2008-11-13 10:32:08,7791,2008-11-14 01:26:19,116.3402649,40.0161966,53651.0,48
62958,17,2008-11-14 01:44:43,8643,2008-11-14 02:16:39,116.4037966,39.967455,1916.0,49
63769,17,2008-11-14 02:32:25,7923,2008-11-14 03:20:20,116.34967,39.9260149,2875.0,50
62193,17,2008-11-14 04:05:07,8643,2008-11-14 06:04:27,116.4037183,39.96723,7160.0,51
879786,17,2008-11-14 06:51:20,8214,2008-11-14 07:36:25,116.3799533,39.9673283,2705.0,52
259861,17,2008-11-14 08:07:56,7791,2008-11-16 03:56:19,116.3401949,40.0160966,157703.0,53
372109,17,2008-11-16 03:56:19,7792,2008-11-16 05:51:43,116.3414666,40.0250416,6924.0,54
372404,17,2008-11-16 06:21:37,7791,2008-11-16 14:20:45,116.3401583,40.0160999,28748.0,55
885815,17,2008-11-16 14:39:49,7791,2008-11-17 00:06:43,116.3445599,40.02113,34014.0,56
874584,17,2008-11-17 00:06:43,326954,2008-11-17 00:49:26,142.8794566,24.4714833,2563.0,57
516329,17,2008-11-17 01:05:31,8643,2008-11-17 02:30:52,116.4037316,39.9673933,5121.0,58
60555,17,2008-11-17 04:49:06,8500,2008-11-17 05:51:32,116.39431,39.971005,3746.0,59
60782,17,2008-11-17 05:54:51,8643,2008-11-17 06:30:27,116.4037449,39.9675033,2136.0,60
451850,17,2008-11-17 07:09:09,7358,2008-11-17 07:56:09,116.3088633,39.9842983,2820.0,61
453400,17,2008-11-17 08:35:09,7643,2008-11-17 11:12:44,116.3327299,39.9752449,9455.0,62
786596,17,2008-11-17 11:31:24,7791,2008-11-17 23:50:14,116.3402433,40.0161649,44330.0,63
851407,17,2008-11-18 00:17:10,8643,2008-11-18 01:28:24,116.4040116,39.9674466,4274.0,64
754022,17,2008-11-18 02:22:18,7637,2008-11-18 03:29:03,116.3327166,39.9220499,4005.0,65
680882,17,2008-11-18 04:15:57,8643,2008-11-18 09:47:02,116.4038066,39.9674716,19865.0,66
656351,17,2008-11-18 10:35:09,7791,2008-11-20 00:53:07,116.340105,40.0161083,137878.0,67
697401,17,2008-11-20 00:57:25,8643,2008-11-20 05:23:57,116.4037666,39.9674333,15992.0,68
700917,17,2008-11-20 07:32:43,8643,2008-11-20 10:33:08,116.4038266,39.9674649,10825.0,69
486675,17,2008-11-20 10:48:38,7643,2008-11-20 11:23:55,116.3326833,39.9750716,2117.0,70
487214,17,2008-11-20 11:40:20,7791,2008-11-20 13:15:52,116.3400633,40.0160466,5732.0,71
543702,17,2008-11-20 13:25:47,7791,2008-11-20 23:56:13,116.3401966,40.0160483,37826.0,72
517566,17,2008-11-21 00:33:34,8643,2008-11-21 05:16:49,116.4038199,39.9674349,16995.0,73
450308,17,2008-11-21 06:04:07,7358,2008-11-21 06:58:47,116.3090266,39.984515,3280.0,74
819112,17,2008-11-21 09:54:22,7791,2008-11-22 03:55:41,116.34014,40.0160366,64879.0,75
346222,17,2008-11-22 04:13:54,7358,2008-11-22 06:28:18,116.3090683,39.9844099,8064.0,76
45728,17,2008-11-22 06:44:11,7358,2008-11-22 07:15:07,116.2975233,39.9851316,1856.0,77
50231,17,2008-11-22 09:10:18,7791,2008-11-22 10:13:53,116.3401883,40.0160966,3815.0,78
550609,17,2008-11-22 10:36:51,9500,2008-11-22 14:54:36,116.4751516,39.9620383,15465.0,79
554556,17,2008-11-22 17:26:05,7791,2008-11-22 20:43:12,116.3445333,40.0200649,11827.0,80
554997,17,2008-11-22 20:43:58,7791,2008-11-22 21:42:46,116.3444616,40.0166816,3528.0,81
555297,17,2008-11-22 21:47:59,7929,2008-11-23 13:23:42,116.3554366,39.9746583,56143.0,82
997736,17,2008-11-23 13:33:49,8643,2008-11-23 14:12:08,116.4037333,39.9674983,2299.0,83
997848,17,2008-11-23 14:15:17,9495,2008-11-23 14:51:01,116.4747483,39.9096866,2144.0,84
686166,17,2008-11-23 15:35:33,7791,2008-12-01 09:08:41,116.3401983,40.0161016,667988.0,85
193398,17,2008-12-01 09:51:10,7791,2008-12-01 23:59:18,116.3400949,40.0161016,50888.0,86
792404,17,2008-12-02 00:31:16,8643,2008-12-02 02:27:16,116.40381,39.96746,6960.0,87
878203,17,2008-12-02 04:09:55,8643,2008-12-02 06:17:12,116.4038416,39.9674349,7637.0,88
446123,17,2008-12-02 06:47:36,7358,2008-12-02 08:28:43,116.3090316,39.9842916,6067.0,89
163584,17,2008-12-02 08:41:57,8643,2008-12-02 10:01:52,116.4037016,39.9674866,4795.0,90
164601,17,2008-12-02 10:24:47,7501,2008-12-02 12:08:43,116.3208166,39.9847883,6236.0,91
852025,17,2008-12-02 12:46:46,7791,2008-12-03 05:48:07,116.3401133,40.0160666,61281.0,92
666141,17,2008-12-03 06:38:36,9356,2008-12-03 08:17:13,116.4679583,39.9441366,5917.0,93
486190,17,2008-12-03 08:29:32,8643,2008-12-03 09:04:05,116.4037083,39.9673416,2073.0,94
192456,17,2008-12-03 10:21:45,7791,2008-12-04 00:02:46,116.3401499,40.0161183,49261.0,95
370468,17,2008-12-04 00:36:44,8643,2008-12-04 01:29:27,116.4037566,39.9674266,3163.0,96
631,17,2008-12-04 02:16:38,7213,2008-12-04 03:13:05,116.2965366,39.9621433,3387.0,97
860993,17,2008-12-04 03:46:45,8643,2008-12-04 05:48:05,116.4037966,39.9674416,7280.0,98
576803,17,2008-12-04 07:03:46,8776,2008-12-04 07:54:19,116.4187683,39.8811332,3033.0,99
