,grid,grid_mapping
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,7,6
7,8,7
8,10,8
9,12,9
10,14,10
11,16,11
12,19,12
13,21,13
14,23,14
15,25,15
16,27,16
17,29,17
18,34,18
19,36,19
20,38,20
21,40,21
22,42,22
23,44,23
24,46,24
25,53,25
26,55,26
27,57,27
28,59,28
29,61,29
30,63,30
31,65,31
32,67,32
33,76,33
34,78,34
35,80,35
36,82,36
37,84,37
38,86,38
39,88,39
40,90,40
41,92,41
42,103,42
43,105,43
44,107,44
45,109,45
46,111,46
47,113,47
48,115,48
49,117,49
50,119,50
51,121,51
52,134,52
53,136,53
54,138,54
55,140,55
56,142,56
57,144,57
58,146,58
59,148,59
60,150,60
61,152,61
62,154,62
63,169,63
64,171,64
65,173,65
66,175,66
67,177,67
68,179,68
69,181,69
70,183,70
71,185,71
72,187,72
73,189,73
74,191,74
75,208,75
76,210,76
77,212,77
78,214,78
79,216,79
80,218,80
81,220,81
82,222,82
83,224,83
84,226,84
85,228,85
86,230,86
87,232,87
88,251,88
89,253,89
90,255,90
91,257,91
92,259,92
93,261,93
94,263,94
95,265,95
96,267,96
97,269,97
98,271,98
99,273,99
100,275,100
101,277,101
102,298,102
103,300,103
104,302,104
105,304,105
106,306,106
107,308,107
108,310,108
109,312,109
110,314,110
111,316,111
112,318,112
113,320,113
114,322,114
115,324,115
116,326,116
117,349,117
118,351,118
119,353,119
120,355,120
121,357,121
122,359,122
123,361,123
124,363,124
125,365,125
126,367,126
127,369,127
128,371,128
129,373,129
130,375,130
131,377,131
132,379,132
133,404,133
134,406,134
135,408,135
136,410,136
137,412,137
138,414,138
139,416,139
140,418,140
141,420,141
142,422,142
143,424,143
144,426,144
145,428,145
146,430,146
147,432,147
148,434,148
149,436,149
150,463,150
151,465,151
152,467,152
153,469,153
154,471,154
155,473,155
156,475,156
157,477,157
158,479,158
159,481,159
160,483,160
161,485,161
162,487,162
163,489,163
164,491,164
165,493,165
166,495,166
167,497,167
168,526,168
169,528,169
170,530,170
171,532,171
172,534,172
173,536,173
174,538,174
175,540,175
176,542,176
177,544,177
178,546,178
179,548,179
180,550,180
181,552,181
182,554,182
183,556,183
184,558,184
185,560,185
186,562,186
187,593,187
188,595,188
189,597,189
190,599,190
191,601,191
192,603,192
193,605,193
194,607,194
195,609,195
196,611,196
197,613,197
198,615,198
199,617,199
200,619,200
201,621,201
202,623,202
203,625,203
204,627,204
205,629,205
206,631,206
207,664,207
208,666,208
209,668,209
210,670,210
211,672,211
212,674,212
213,676,213
214,678,214
215,680,215
216,682,216
217,684,217
218,686,218
219,688,219
220,690,220
221,692,221
222,694,222
223,696,223
224,698,224
225,700,225
226,702,226
227,704,227
228,739,228
229,741,229
230,743,230
231,745,231
232,747,232
233,749,233
234,751,234
235,753,235
236,755,236
237,757,237
238,759,238
239,761,239
240,763,240
241,765,241
242,767,242
243,769,243
244,771,244
245,773,245
246,775,246
247,777,247
248,779,248
249,781,249
250,818,250
251,820,251
252,822,252
253,824,253
254,826,254
255,828,255
256,830,256
257,832,257
258,834,258
259,836,259
260,838,260
261,840,261
262,842,262
263,844,263
264,846,264
265,848,265
266,850,266
267,852,267
268,854,268
269,856,269
270,858,270
271,860,271
272,862,272
273,901,273
274,903,274
275,905,275
276,907,276
277,909,277
278,911,278
279,913,279
280,915,280
281,917,281
282,919,282
283,921,283
284,923,284
285,925,285
286,927,286
287,929,287
288,931,288
289,933,289
290,935,290
291,937,291
292,939,292
293,941,293
294,943,294
295,945,295
296,947,296
297,988,297
298,990,298
299,992,299
300,994,300
301,996,301
302,998,302
303,1000,303
304,1002,304
305,1004,305
306,1006,306
307,1008,307
308,1010,308
309,1012,309
310,1014,310
311,1016,311
312,1018,312
313,1020,313
314,1022,314
315,1024,315
316,1026,316
317,1028,317
318,1030,318
319,1032,319
320,1034,320
321,1036,321
322,1079,322
323,1081,323
324,1083,324
325,1085,325
326,1087,326
327,1089,327
328,1091,328
329,1093,329
330,1095,330
331,1097,331
332,1099,332
333,1101,333
334,1103,334
335,1105,335
336,1107,336
337,1109,337
338,1111,338
339,1113,339
340,1115,340
341,1117,341
342,1119,342
343,1121,343
344,1123,344
345,1125,345
346,1127,346
347,1129,347
348,1174,348
349,1176,349
350,1178,350
351,1180,351
352,1182,352
353,1184,353
354,1186,354
355,1188,355
356,1190,356
357,1192,357
358,1194,358
359,1196,359
360,1198,360
361,1200,361
362,1202,362
363,1204,363
364,1206,364
365,1208,365
366,1210,366
367,1212,367
368,1214,368
369,1216,369
370,1218,370
371,1220,371
372,1222,372
373,1224,373
374,1226,374
375,1273,375
376,1275,376
377,1277,377
378,1279,378
379,1281,379
380,1283,380
381,1285,381
382,1287,382
383,1289,383
384,1291,384
385,1293,385
386,1295,386
387,1297,387
388,1299,388
389,1301,389
390,1303,390
391,1305,391
392,1307,392
393,1309,393
394,1311,394
395,1313,395
396,1315,396
397,1317,397
398,1319,398
399,1321,399
400,1323,400
401,1325,401
402,1327,402
403,1376,403
404,1378,404
405,1380,405
406,1382,406
407,1384,407
408,1386,408
409,1388,409
410,1390,410
411,1392,411
412,1394,412
413,1396,413
414,1398,414
415,1400,415
416,1402,416
417,1404,417
418,1406,418
419,1408,419
420,1410,420
421,1412,421
422,1414,422
423,1416,423
424,1418,424
425,1420,425
426,1422,426
427,1424,427
428,1426,428
429,1428,429
430,1430,430
431,1432,431
432,1483,432
433,1485,433
434,1487,434
435,1489,435
436,1491,436
437,1493,437
438,1495,438
439,1497,439
440,1499,440
441,1501,441
442,1503,442
443,1505,443
444,1507,444
445,1509,445
446,1511,446
447,1513,447
448,1515,448
449,1517,449
450,1519,450
451,1521,451
452,1523,452
453,1525,453
454,1527,454
455,1529,455
456,1531,456
457,1533,457
458,1535,458
459,1537,459
460,1539,460
461,1541,461
462,1594,462
463,1596,463
464,1598,464
465,1600,465
466,1602,466
467,1604,467
468,1606,468
469,1608,469
470,1610,470
471,1612,471
472,1614,472
473,1616,473
474,1618,474
475,1620,475
476,1622,476
477,1624,477
478,1626,478
479,1628,479
480,1630,480
481,1632,481
482,1634,482
483,1636,483
484,1638,484
485,1640,485
486,1642,486
487,1644,487
488,1646,488
489,1648,489
490,1650,490
491,1652,491
492,1654,492
493,1709,493
494,1711,494
495,1713,495
496,1715,496
497,1717,497
498,1719,498
499,1721,499
500,1723,500
501,1725,501
502,1727,502
503,1729,503
504,1731,504
505,1733,505
506,1735,506
507,1737,507
508,1739,508
509,1741,509
510,1743,510
511,1745,511
512,1747,512
513,1749,513
514,1751,514
515,1753,515
516,1755,516
517,1757,517
518,1759,518
519,1761,519
520,1763,520
521,1765,521
522,1767,522
523,1769,523
524,1771,524
525,1828,525
526,1830,526
527,1832,527
528,1834,528
529,1836,529
530,1838,530
531,1840,531
532,1842,532
533,1844,533
534,1846,534
535,1848,535
536,1850,536
537,1852,537
538,1854,538
539,1856,539
540,1858,540
541,1860,541
542,1862,542
543,1864,543
544,1866,544
545,1868,545
546,1870,546
547,1872,547
548,1874,548
549,1876,549
550,1878,550
551,1880,551
552,1882,552
553,1884,553
554,1886,554
555,1888,555
556,1890,556
557,1892,557
558,1951,558
559,1953,559
560,1955,560
561,1957,561
562,1959,562
563,1961,563
564,1963,564
565,1965,565
566,1967,566
567,1969,567
568,1971,568
569,1973,569
570,1975,570
571,1977,571
572,1979,572
573,1981,573
574,1983,574
575,1985,575
576,1987,576
577,1989,577
578,1991,578
579,1993,579
580,1995,580
581,1997,581
582,1999,582
583,2001,583
584,2003,584
585,2005,585
